Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total_tax,Total_profit_before_tax,Total_sales
Female,214-17-6927,C,Naypyitaw,Normal,Food and beverages,16.48,6,4.944,4.944,98.88,93.936
Female,400-89-4171,C,Naypyitaw,Normal,Sports and travel,80.97,8,32.388,32.388,647.76,615.372
Female,894-41-5205,C,Naypyitaw,Normal,Food and beverages,43.18,8,17.272,17.272,345.44,328.168
Female,139-52-2867,C,Naypyitaw,Normal,Fashion accessories,22.51,7,7.8785,7.8785,157.57,149.6915
Female,586-25-0848,A,Yangon,Normal,Sports and travel,12.34,7,4.319,4.319,86.38,82.061
Female,305-14-0245,B,Mandalay,Member,Home and lifestyle,94.49,8,37.796,37.796,755.92,718.124
Female,593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,69.81,4,13.962,13.962,279.24,265.278
Female,284-34-9626,B,Mandalay,Normal,Home and lifestyle,77.04,3,11.556,11.556,231.12,219.564
Female,437-58-8131,B,Mandalay,Normal,Fashion accessories,73.52,2,7.352,7.352,147.04,139.688
Female,286-43-6208,C,Naypyitaw,Normal,Food and beverages,87.8,9,39.51,39.51,790.2,750.69
Female,556-86-3144,C,Naypyitaw,Member,Fashion accessories,74.29,1,3.7145,3.7145,74.29,70.5755
Female,856-22-8149,A,Yangon,Normal,Home and lifestyle,25.29,1,1.2645,1.2645,25.29,24.0255
Female,420-11-4919,C,Naypyitaw,Member,Food and beverages,71.39,5,178.475,17.8475,356.95,339.1025
Female,606-80-4905,C,Naypyitaw,Member,Sports and travel,19.15,6,5.745,5.745,114.9,109.155
Female,542-41-0513,B,Mandalay,Member,Electronic accessories,57.49,4,11.498,11.498,229.96,218.462
Female,749-24-1565,A,Yangon,Normal,Health and beauty,23.03,9,10.3635,10.3635,207.27,196.9065
Female,672-51-8681,C,Naypyitaw,Member,Electronic accessories,66.65,9,299.925,29.9925,599.85,569.8575
Female,263-87-5680,C,Naypyitaw,Member,Home and lifestyle,28.53,10,14.265,14.265,285.3,271.035
Female,573-58-9734,B,Mandalay,Normal,Fashion accessories,30.37,3,4.5555,4.5555,91.11,86.5545
Female,817-69-8206,B,Mandalay,Normal,Electronic accessories,99.73,9,448.785,44.8785,897.57,852.6915
Female,677-11-0152,C,Naypyitaw,Normal,Food and beverages,93.26,9,41.967,41.967,839.34,797.373
Female,891-58-8335,B,Mandalay,Member,Sports and travel,29.61,7,10.3635,10.3635,207.27,196.9065
Female,560-30-5617,B,Mandalay,Normal,Sports and travel,24.77,5,6.1925,6.1925,123.85,117.6575
Female,319-74-2561,A,Yangon,Member,Electronic accessories,94.64,3,14.196,14.196,283.92,269.724
Female,790-29-1172,B,Mandalay,Normal,Food and beverages,57.34,3,8.601,8.601,172.02,163.419
Female,279-62-1445,C,Naypyitaw,Member,Fashion accessories,12.54,1,627,0.627,12.54,11.913
Female,746-68-6593,C,Naypyitaw,Member,Sports and travel,87.16,2,8.716,8.716,174.32,165.604
Female,466-61-5506,B,Mandalay,Member,Electronic accessories,90.7,6,27.21,27.21,544.2,516.99
Female,721-86-6247,A,Yangon,Normal,Home and lifestyle,63.42,8,25.368,25.368,507.36,481.992
Female,289-65-5721,B,Mandalay,Normal,Fashion accessories,81.37,2,8.137,8.137,162.74,154.603
Female,545-46-3100,B,Mandalay,Member,Electronic accessories,10.59,3,1.5885,1.5885,31.77,30.1815
Female,418-02-5978,B,Mandalay,Normal,Health and beauty,84.09,9,378.405,37.8405,756.81,718.9695
Female,645-78-8093,A,Yangon,Normal,Sports and travel,93.14,2,9.314,9.314,186.28,176.966
Female,755-12-3214,C,Naypyitaw,Member,Fashion accessories,44.22,5,11.055,11.055,221.1,210.045
Female,346-84-3103,B,Mandalay,Member,Electronic accessories,13.22,5,3.305,3.305,66.1,62.795
Female,866-05-7563,B,Mandalay,Member,Electronic accessories,81.4,3,12.21,12.21,244.2,231.99
Female,883-17-4236,C,Naypyitaw,Normal,Sports and travel,14.39,2,1.439,1.439,28.78,27.341
Female,850-41-9669,A,Yangon,Normal,Electronic accessories,75.06,9,33.777,33.777,675.54,641.763
Female,821-07-3596,C,Naypyitaw,Normal,Fashion accessories,16.45,4,3.29,3.29,65.8,62.51
Female,655-85-5130,B,Mandalay,Member,Fashion accessories,38.3,4,7.66,7.66,153.2,145.54
Female,447-15-7839,A,Yangon,Member,Sports and travel,22.24,10,11.12,11.12,222.4,211.28
Female,253-12-6086,A,Yangon,Member,Sports and travel,98.4,7,34.44,34.44,688.8,654.36
Female,571-94-0759,B,Mandalay,Member,Food and beverages,74.6,10,37.3,37.3,746,708.7
Female,731-14-2199,A,Yangon,Member,Home and lifestyle,35.54,10,17.77,17.77,355.4,337.63
Female,783-09-1637,B,Mandalay,Normal,Sports and travel,67.43,5,168.575,16.8575,337.15,320.2925
Female,687-15-1097,C,Naypyitaw,Member,Health and beauty,21.12,2,2.112,2.112,42.24,40.128
Female,126-54-1082,A,Yangon,Member,Home and lifestyle,21.54,9,9.693,9.693,193.86,184.167
Female,633-91-1052,A,Yangon,Normal,Home and lifestyle,12.03,2,1.203,1.203,24.06,22.857
Female,477-24-6490,B,Mandalay,Normal,Health and beauty,99.71,6,29.913,29.913,598.26,568.347
Female,526-86-8552,C,Naypyitaw,Member,Home and lifestyle,21.82,10,10.91,10.91,218.2,207.29
Female,376-56-3573,C,Naypyitaw,Normal,Fashion accessories,95.42,4,19.084,19.084,381.68,362.596
Female,136-08-6195,A,Yangon,Normal,Home and lifestyle,69.96,8,27.984,27.984,559.68,531.696
Female,490-29-1201,A,Yangon,Normal,Sports and travel,15.34,1,767,0.767,15.34,14.573
Female,565-17-3836,A,Yangon,Member,Health and beauty,47.67,4,9.534,9.534,190.68,181.146
Female,226-71-3580,C,Naypyitaw,Normal,Sports and travel,23.75,9,10.6875,10.6875,213.75,203.0625
Female,283-79-9594,B,Mandalay,Normal,Food and beverages,48.51,7,169.785,16.9785,339.57,322.5915
Female,430-60-3493,A,Yangon,Member,Home and lifestyle,94.88,7,33.208,33.208,664.16,630.952
Female,278-97-7759,A,Yangon,Member,Electronic accessories,62.48,1,3.124,3.124,62.48,59.356
Female,316-68-6352,A,Yangon,Member,Food and beverages,36.36,2,3.636,3.636,72.72,69.084
Female,211-05-0490,C,Naypyitaw,Member,Electronic accessories,51.92,5,12.98,12.98,259.6,246.62
Female,779-06-0012,C,Naypyitaw,Member,Home and lifestyle,88.61,1,4.4305,4.4305,88.61,84.1795
Female,439-54-7422,A,Yangon,Normal,Electronic accessories,51.19,4,10.238,10.238,204.76,194.522
Female,396-90-2219,B,Mandalay,Normal,Electronic accessories,14.96,8,5.984,5.984,119.68,113.696
Female,286-01-5402,A,Yangon,Normal,Sports and travel,40.23,7,140.805,14.0805,281.61,267.5295
Female,803-17-8013,A,Yangon,Member,Home and lifestyle,88.79,8,35.516,35.516,710.32,674.804
Female,512-98-1403,A,Yangon,Member,Electronic accessories,26.48,3,3.972,3.972,79.44,75.468
Female,848-42-2560,A,Yangon,Normal,Fashion accessories,81.91,2,8.191,8.191,163.82,155.629
Female,870-76-1733,A,Yangon,Member,Food and beverages,14.23,5,3.5575,3.5575,71.15,67.5925
Female,423-64-4619,A,Yangon,Member,Health and beauty,15.55,9,6.9975,6.9975,139.95,132.9525
Female,227-07-4446,C,Naypyitaw,Member,Electronic accessories,78.13,10,39.065,39.065,781.3,742.235
Female,428-83-5800,C,Naypyitaw,Member,Food and beverages,21.08,3,3.162,3.162,63.24,60.078
Female,704-20-4138,C,Naypyitaw,Member,Health and beauty,29.67,7,10.3845,10.3845,207.69,197.3055
Female,649-11-3678,C,Naypyitaw,Normal,Food and beverages,22.93,9,10.3185,10.3185,206.37,196.0515
Female,622-20-1945,C,Naypyitaw,Normal,Health and beauty,39.42,1,1.971,1.971,39.42,37.449
Female,563-91-7120,A,Yangon,Normal,Fashion accessories,61.77,5,154.425,15.4425,308.85,293.4075
Female,527-09-6272,A,Yangon,Member,Electronic accessories,28.45,5,7.1125,7.1125,142.25,135.1375
Female,692-27-8933,B,Mandalay,Normal,Sports and travel,57.95,6,17.385,17.385,347.7,330.315
Female,633-09-3463,C,Naypyitaw,Normal,Electronic accessories,47.65,3,7.1475,7.1475,142.95,135.8025
Female,374-17-3652,B,Mandalay,Member,Food and beverages,42.82,9,19.269,19.269,385.38,366.111
Female,433-75-6987,B,Mandalay,Member,Health and beauty,55.97,7,195.895,19.5895,391.79,372.2005
Female,873-95-4984,B,Mandalay,Member,Health and beauty,76.9,7,26.915,26.915,538.3,511.385
Female,416-13-5917,C,Naypyitaw,Normal,Food and beverages,97.03,5,242.575,24.2575,485.15,460.8925
Female,135-84-8019,A,Yangon,Normal,Fashion accessories,77.93,9,350.685,35.0685,701.37,666.3015
Female,725-96-3778,C,Naypyitaw,Member,Home and lifestyle,89.25,8,35.7,35.7,714,678.3
Female,400-45-1220,B,Mandalay,Normal,Health and beauty,13.5,10,6.75,6.75,135,128.25
Female,860-79-0874,C,Naypyitaw,Member,Fashion accessories,99.3,10,49.65,49.65,993,943.35
Female,115-99-4379,B,Mandalay,Member,Fashion accessories,54.73,7,191.555,19.1555,383.11,363.9545
Female,320-49-6392,C,Naypyitaw,Normal,Electronic accessories,30.24,1,1.512,1.512,30.24,28.728
Female,889-04-9723,B,Mandalay,Member,Food and beverages,89.14,4,17.828,17.828,356.56,338.732
Female,632-90-0281,C,Naypyitaw,Normal,Fashion accessories,37.55,10,18.775,18.775,375.5,356.725
Female,554-42-2417,C,Naypyitaw,Normal,Sports and travel,95.44,10,47.72,47.72,954.4,906.68
Female,605-72-4132,C,Naypyitaw,Normal,Food and beverages,94.47,8,37.788,37.788,755.76,717.972
Female,272-27-9238,C,Naypyitaw,Normal,Food and beverages,41.24,4,8.248,8.248,164.96,156.712
Female,834-25-9262,C,Naypyitaw,Normal,Fashion accessories,81.68,4,16.336,16.336,326.72,310.384
Female,122-61-9553,C,Naypyitaw,Normal,Electronic accessories,51.32,9,23.094,23.094,461.88,438.786
Female,613-59-9758,C,Naypyitaw,Normal,Sports and travel,14.36,10,7.18,7.18,143.6,136.42
Female,201-86-2184,B,Mandalay,Member,Electronic accessories,26.26,7,9.191,9.191,183.82,174.629
Female,261-12-8671,B,Mandalay,Normal,Fashion accessories,60.96,2,6.096,6.096,121.92,115.824
Female,730-70-9830,C,Naypyitaw,Normal,Home and lifestyle,70.11,6,21.033,21.033,420.66,399.627
Female,422-29-8786,A,Yangon,Normal,Home and lifestyle,67.09,5,167.725,16.7725,335.45,318.6775
Female,667-23-5919,A,Yangon,Member,Fashion accessories,96.7,5,24.175,24.175,483.5,459.325
Female,843-01-4703,B,Mandalay,Member,Home and lifestyle,35.38,9,15.921,15.921,318.42,302.499
Female,182-69-8360,B,Mandalay,Normal,Electronic accessories,23.65,4,4.73,4.73,94.6,89.87
Female,462-78-5240,C,Naypyitaw,Normal,Electronic accessories,26.61,2,2.661,2.661,53.22,50.559
Female,868-52-7573,B,Mandalay,Normal,Food and beverages,99.69,5,249.225,24.9225,498.45,473.5275
Female,153-58-4872,C,Naypyitaw,Member,Food and beverages,74.89,4,14.978,14.978,299.56,284.582
Female,662-72-2873,A,Yangon,Normal,Food and beverages,40.94,5,10.235,10.235,204.7,194.465
Female,725-56-0833,A,Yangon,Normal,Health and beauty,32.32,10,16.16,16.16,323.2,307.04
Female,394-41-0748,C,Naypyitaw,Member,Fashion accessories,54.07,9,243.315,24.3315,486.63,462.2985
Female,541-89-9860,C,Naypyitaw,Member,Fashion accessories,80.48,3,12.072,12.072,241.44,229.368
Female,173-82-9529,B,Mandalay,Normal,Fashion accessories,37.95,10,18.975,18.975,379.5,360.525
Female,308-47-4913,A,Yangon,Member,Sports and travel,52.26,10,26.13,26.13,522.6,496.47
Female,885-17-6250,A,Yangon,Normal,Health and beauty,79.74,1,3.987,3.987,79.74,75.753
Female,726-27-2396,A,Yangon,Normal,Health and beauty,77.5,5,19.375,19.375,387.5,368.125
Female,316-01-3952,A,Yangon,Normal,Food and beverages,54.27,5,135.675,13.5675,271.35,257.7825
Female,793-10-3222,B,Mandalay,Member,Health and beauty,41.06,6,12.318,12.318,246.36,234.042
Female,110-05-6330,C,Naypyitaw,Normal,Food and beverages,39.43,6,11.829,11.829,236.58,224.751
Female,831-64-0259,B,Mandalay,Normal,Fashion accessories,39.75,5,9.9375,9.9375,198.75,188.8125
Female,587-03-7455,C,Naypyitaw,Member,Fashion accessories,97.79,7,342.265,34.2265,684.53,650.3035
Female,725-32-9708,B,Mandalay,Member,Fashion accessories,68.71,4,13.742,13.742,274.84,261.098
Female,256-08-8343,A,Yangon,Normal,Home and lifestyle,56.53,4,11.306,11.306,226.12,214.814
Female,372-26-1506,C,Naypyitaw,Normal,Fashion accessories,23.82,5,5.955,5.955,119.1,113.145
Female,244-08-0162,B,Mandalay,Normal,Health and beauty,34.21,10,17.105,17.105,342.1,324.995
Female,750-57-9686,C,Naypyitaw,Normal,Home and lifestyle,45.38,4,9.076,9.076,181.52,172.444
Female,186-09-3669,C,Naypyitaw,Member,Health and beauty,81.51,1,4.0755,4.0755,81.51,77.4345
Female,848-07-1692,B,Mandalay,Normal,Health and beauty,57.22,2,5.722,5.722,114.44,108.718
Female,745-71-3520,A,Yangon,Member,Electronic accessories,25.22,7,8.827,8.827,176.54,167.713
Female,266-76-6436,C,Naypyitaw,Member,Food and beverages,38.6,3,5.79,5.79,115.8,110.01
Female,740-22-2500,C,Naypyitaw,Normal,Electronic accessories,84.05,3,12.6075,12.6075,252.15,239.5425
Female,271-88-8734,C,Naypyitaw,Member,Fashion accessories,97.21,10,48.605,48.605,972.1,923.495
Female,650-98-6268,B,Mandalay,Member,Food and beverages,20.87,3,3.1305,3.1305,62.61,59.4795
Female,325-77-6186,A,Yangon,Member,Home and lifestyle,90.65,10,45.325,45.325,906.5,861.175
Female,459-50-7686,A,Yangon,Normal,Electronic accessories,23.46,6,7.038,7.038,140.76,133.722
Female,837-55-7229,B,Mandalay,Normal,Fashion accessories,47.44,1,2.372,2.372,47.44,45.068
Female,810-60-6344,C,Naypyitaw,Normal,Electronic accessories,40.86,8,16.344,16.344,326.88,310.536
Female,394-30-3170,B,Mandalay,Member,Sports and travel,88.43,8,35.372,35.372,707.44,672.068
Female,138-17-5109,A,Yangon,Member,Home and lifestyle,89.21,9,401.445,40.1445,802.89,762.7455
Female,301-11-9629,A,Yangon,Normal,Sports and travel,19.1,7,6.685,6.685,133.7,127.015
Female,390-80-5128,B,Mandalay,Member,Health and beauty,19.15,1,9.575,0.9575,19.15,18.1925
Female,296-11-7041,B,Mandalay,Member,Health and beauty,27.07,1,1.3535,1.3535,27.07,25.7165
Female,449-27-2918,B,Mandalay,Member,Sports and travel,39.12,1,1.956,1.956,39.12,37.164
Female,891-01-7034,B,Mandalay,Normal,Electronic accessories,74.71,6,22.413,22.413,448.26,425.847
Female,727-17-0390,A,Yangon,Normal,Food and beverages,63.61,5,159.025,15.9025,318.05,302.1475
Female,767-54-1907,B,Mandalay,Member,Fashion accessories,29.56,5,7.39,7.39,147.8,140.41
Female,710-46-4433,B,Mandalay,Member,Food and beverages,77.4,9,34.83,34.83,696.6,661.77
Female,325-90-8763,C,Naypyitaw,Member,Electronic accessories,46.57,10,23.285,23.285,465.7,442.415
Female,234-03-4040,B,Mandalay,Member,Food and beverages,73.05,10,36.525,36.525,730.5,693.975
Female,326-71-2155,C,Naypyitaw,Normal,Sports and travel,73.95,4,14.79,14.79,295.8,281.01
Female,320-32-8842,C,Naypyitaw,Member,Food and beverages,22.62,1,1.131,1.131,22.62,21.489
Female,878-30-2331,C,Naypyitaw,Member,Sports and travel,54.55,10,27.275,27.275,545.5,518.225
Female,440-59-5691,C,Naypyitaw,Member,Health and beauty,37.15,7,130.025,13.0025,260.05,247.0475
Female,233-34-0817,C,Naypyitaw,Member,Electronic accessories,98.84,1,4.942,4.942,98.84,93.898
Female,767-05-1286,C,Naypyitaw,Member,Home and lifestyle,83.77,6,25.131,25.131,502.62,477.489
Female,340-21-9136,A,Yangon,Member,Sports and travel,40.05,4,8.01,8.01,160.2,152.19
Female,676-39-6028,A,Yangon,Member,Electronic accessories,64.44,5,16.11,16.11,322.2,306.09
Female,485-30-8700,A,Yangon,Normal,Sports and travel,33.26,5,8.315,8.315,166.3,157.985
Female,246-11-3901,C,Naypyitaw,Normal,Electronic accessories,32.8,10,16.4,16.4,328,311.6
Female,493-65-6248,C,Naypyitaw,Member,Sports and travel,36.98,10,18.49,18.49,369.8,351.31
Female,438-01-4015,B,Mandalay,Member,Sports and travel,49.49,4,9.898,9.898,197.96,188.062
Female,709-58-4068,B,Mandalay,Normal,Fashion accessories,41.09,10,20.545,20.545,410.9,390.355
Female,627-95-3243,B,Mandalay,Member,Home and lifestyle,77.68,9,34.956,34.956,699.12,664.164
Female,686-41-0932,B,Mandalay,Normal,Fashion accessories,34.7,2,3.47,3.47,69.4,65.93
Female,510-09-5628,A,Yangon,Member,Fashion accessories,19.66,10,9.83,9.83,196.6,186.77
Female,608-04-3797,B,Mandalay,Member,Health and beauty,25.32,8,10.128,10.128,202.56,192.432
Female,148-82-2527,C,Naypyitaw,Member,Home and lifestyle,12.12,10,6.06,6.06,121.2,115.14
Female,556-97-7101,C,Naypyitaw,Normal,Electronic accessories,63.22,2,6.322,6.322,126.44,120.118
Female,862-59-8517,C,Naypyitaw,Normal,Food and beverages,90.24,6,27.072,27.072,541.44,514.368
Female,401-18-8016,B,Mandalay,Member,Sports and travel,98.13,1,4.9065,4.9065,98.13,93.2235
Female,420-18-8989,A,Yangon,Member,Sports and travel,51.52,8,20.608,20.608,412.16,391.552
Female,573-98-8548,C,Naypyitaw,Member,Fashion accessories,31.9,1,1.595,1.595,31.9,30.305
Female,282-35-2475,B,Mandalay,Normal,Sports and travel,93.31,2,9.331,9.331,186.62,177.289
Female,387-49-4215,B,Mandalay,Member,Sports and travel,48.5,3,7.275,7.275,145.5,138.225
Female,862-17-9201,B,Mandalay,Normal,Food and beverages,84.05,6,25.215,25.215,504.3,479.085
Female,602-80-9671,C,Naypyitaw,Member,Home and lifestyle,15.95,6,4.785,4.785,95.7,90.915
Female,347-72-6115,B,Mandalay,Member,Sports and travel,90.74,7,31.759,31.759,635.18,603.421
Female,209-61-0206,A,Yangon,Normal,Home and lifestyle,42.91,5,10.7275,10.7275,214.55,203.8225
Female,595-27-4851,A,Yangon,Normal,Fashion accessories,54.28,7,18.998,18.998,379.96,360.962
Female,413-20-6708,C,Naypyitaw,Member,Fashion accessories,51.47,1,2.5735,2.5735,51.47,48.8965
Female,734-91-1155,B,Mandalay,Normal,Electronic accessories,45.71,3,6.8565,6.8565,137.13,130.2735
Female,451-28-5717,C,Naypyitaw,Member,Home and lifestyle,83.17,6,24.951,24.951,499.02,474.069
Female,609-81-8548,A,Yangon,Member,Home and lifestyle,37.44,6,11.232,11.232,224.64,213.408
Female,719-89-8991,A,Yangon,Member,Sports and travel,91.41,5,228.525,22.8525,457.05,434.1975
Female,827-44-5872,B,Mandalay,Member,Food and beverages,54.36,10,27.18,27.18,543.6,516.42
Female,236-27-1144,C,Naypyitaw,Normal,Food and beverages,16.31,9,7.3395,7.3395,146.79,139.4505
Female,892-05-6689,A,Yangon,Normal,Home and lifestyle,28.32,5,7.08,7.08,141.6,134.52
Female,339-12-4827,B,Mandalay,Member,Fashion accessories,73.96,1,3.698,3.698,73.96,70.262
Female,308-81-0538,A,Yangon,Normal,Fashion accessories,73.05,4,14.61,14.61,292.2,277.59
Female,358-88-9262,C,Naypyitaw,Member,Food and beverages,87.48,6,26.244,26.244,524.88,498.636
